bronze,sliver,gold,sliver_lines,gold_lines,difference
palmares-definitif-sankuru-2017-92.pdf,palmares-definitif-sankuru-2017-92.txt,palmares-2017-definitif-sankuru-92.txt,12482,11385,-1097
palmares-definitif-sud-kivu-2017-63.pdf,palmares-definitif-sud-kivu-2017-63.txt,palmares-2017-definitif-sud-kivu-63.txt,39665,37477,-2188
palmares-definitif-sud-ubangi-2017-42.pdf,palmares-definitif-sud-ubangi-2017-42.txt,palmares-2017-definitif-sud-ubangi-42.txt,10070,9384,-686
palmares-definitif-tanganyika-2017-73.pdf,palmares-definitif-tanganyika-2017-73.txt,palmares-2017-definitif-tanganyika-73.txt,10786,10110,-676
palmares-definitif-tshopo-2017-51.pdf,palmares-definitif-tshopo-2017-51.txt,palmares-2017-definitif-tshopo-51.txt,18768,17528,-1240
palmares-definitif-tshuapa-2017-43.pdf,palmares-definitif-tshuapa-2017-43.txt,palmares-2017-definitif-tshuapa-43.txt,4484,4132,-352
palmares-equateur-1-41-2010.pdf,palmares-equateur-1-41-2010.txt,palmares-2010-equateur-1-41.txt,7695,7326,-369
palmares-equateur-1-41-2013.pdf,palmares-equateur-1-41-2013.txt,palmares-2013-equateur-1-41.txt,9004,8356,-648
palmares-equateur-1-41-2015.pdf,palmares-equateur-1-41-2015.txt,palmares-2015-equateur-1-41.txt,11922,11158,-764
palmares-equateur-2-42-2010.pdf,palmares-equateur-2-42-2010.txt,palmares-2010-equateur-2-42.txt,4345,3997,-348
palmares-equateur-2-42-2013.pdf,palmares-equateur-2-42-2013.txt,palmares-2013-equateur-2-42.txt,6237,5697,-540
palmares-equateur-2-42-2015.pdf,palmares-equateur-2-42-2015.txt,palmares-2015-equateur-2-42.txt,7923,7335,-588
palmares-equateur-2008.pdf,palmares-equateur-2008.txt,palmares-2008-equateur.txt,12065,11348,-717
palmares-equateur-2009.pdf,palmares-equateur-2009.txt,palmares-2009-equateur.txt,23204,21644,-1560
palmares-equateur-2012.pdf,palmares-equateur-2012.txt,palmares-2012-equateur.txt,23441,22260,-1181
palmares-equateur-2018.pdf,palmares-equateur-2018.txt,palmares-2018-equateur.txt,14233,13376,-857
palmares-equateur-3-43-2010.pdf,palmares-equateur-3-43-2010.txt,palmares-2010-equateur-3-43.txt,3837,3673,-164
palmares-equateur-3-43-2013.pdf,palmares-equateur-3-43-2013.txt,palmares-2013-equateur-3-43.txt,3929,3616,-313
